"ID";"IDPlots";"Habitattype";"Habitatsubtype";"Versie";"Criterium";"Indicator";"Status_indicator";"Belang";"SBZH";"Meting";"PlotWeight";"StratumWeight";"WeightComb";"Scenario"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Vegetatie";"bedekking sleutel- en overige soorten";FALSE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Structuur";"horizontale structuur";NA;"zb";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111173825";"1004470";7140;"7140_meso";"Versie 2.0";"Vegetatie";"sleutelsoorten";FALSE;"b";"Binnen";"Cirkelplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Structuur";"strooisellaag";TRUE;"b";"Binnen";"Cirkelplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Verstoring";"structuurschade";TRUE;"b";"Binnen";"Cirkelplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Verstoring";"verbossing";TRUE;"zb";"Binnen";"Cirkelplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 2.0";"Verstoring";"verruiging/vermossing/vergrassing";FALSE;"zb";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 3";"Structuur";"(korst)moslaag";TRUE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 3";"Vegetatie";"bedekking sleutel- en overige soorten";TRUE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 3";"Structuur";"dominantie van één soort";TRUE;"b";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
"IV2017022111183354";"1004470";7140;"7140_meso";"Versie 3";"Verstoring";"eutrofiëring";FALSE;"zb";"Binnen";"Vegetatieplot";1;5,18362950735022;5,18362950735022;"Combinatie crikelplot en vegetatieplot"
